AERONET_Database_Site_List,Num=0,Date_Generated=25:08:2017,Months_Available_for_Year,2016
Site_Name,Longitude(decimal_degrees),Latitude(decimal_degrees),Elevation(meters),JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
Kelowna_UAS,-119.400111,49.941294,456.000000,1,1,1,1,1,1,1,1,1,0,0,0
Eforie,28.632222,44.075000,40.000000,1,1,1,0,0,0,0,0,0,0,0,0
Lucinda,146.386100,-18.519800,8.000000,1,1,1,1,1,1,1,1,1,0,0,0
ND_Marbel_Univ,124.842531,6.496011,70.000000,1,0,0,0,0,0,0,0,0,0,0,0
WaveCIS_Site_CSI_6,-90.483333,28.866667,32.660000,1,1,1,1,1,1,1,1,1,1,1,1
Goldstone,-116.791667,35.233333,1100.000000,1,1,1,1,1,1,1,1,1,1,0,0
Baengnyeong,124.630278,37.966111,136.000000,1,1,1,1,1,1,1,1,1,0,0,0
Huelva,-6.568700,37.016300,25.000000,0,1,1,1,1,0,0,0,0,0,0,0
CalTech,-118.126167,34.136730,260.000000,0,1,1,1,1,1,1,1,1,1,1,1
CUT-TEPAK,33.042750,34.674806,22.000000,1,1,1,1,1,1,1,0,0,1,1,1
Dushanbe,68.857911,38.553264,821.000000,1,1,1,1,1,1,1,1,1,1,1,0
Appalachian_State,-81.693800,36.214600,1080.000000,0,0,0,1,1,1,1,1,1,1,1,1
Aubiere_LAMP,3.111072,45.760960,423.000000,1,1,1,1,1,1,1,1,1,1,1,1
Frioul,5.293333,43.266111,40.000000,1,1,1,1,1,1,1,1,1,1,1,1
CLUJ_UBB,23.551389,46.768333,405.000000,1,1,1,1,1,1,0,0,0,0,0,0
Gloria,29.359670,44.599970,30.000000,1,1,1,1,0,0,0,0,0,0,0,0
Oujda,-1.898500,34.653167,620.000000,1,1,1,1,1,0,0,0,0,0,0,0
Timisoara,21.227360,45.746260,122.000000,0,0,0,0,0,0,1,1,0,0,0,0
NGHIA_DO,105.799640,21.047780,40.000000,1,1,1,1,1,1,1,1,0,0,1,1
Manaus_EMBRAPA,-59.969778,-2.890528,115.000000,1,1,1,1,1,0,0,0,0,0,0,0
USC_SEAPRISM,-118.117820,33.563710,31.000000,1,1,0,0,0,1,1,1,1,1,1,1
Tabernas_PSA-DLR,-2.358180,37.090760,500.000000,1,1,1,1,0,0,0,0,0,0,0,0
Yonsei_University,126.934867,37.564370,88.000000,1,1,1,1,1,1,1,1,1,1,1,1
Montsec,0.729689,42.051417,1574.000000,1,1,1,1,1,1,0,0,0,0,0,0
Key_Biscayne2,-80.163330,25.731966,0.000000,1,1,1,1,1,1,1,1,1,1,1,1
Palma_de_Mallorca,2.625100,39.553300,10.000000,1,1,1,1,1,0,0,0,0,0,0,0
Masdar_Institute,54.616600,24.441600,4.000000,1,1,1,1,1,1,0,0,0,0,0,0
Magurele_Inoe,26.030703,44.348292,90.000000,1,1,1,1,1,1,1,1,1,1,0,0
